Hund;Dog
Katze;Cat
Mensch;Human
Huhn;Chicken
Glass;Glass
Seife;Soap
Milch;Milk
Tisch;Table
Schuh;Shoe
Fahrrad;Bicycle
Hallo;Hello
Nett;Nice
Gut;Good
Haus;House
Auto;Car
Baum;Tree
Buch;Book
Stuhl;Chair
Fenster;Window
Tür;Door
Wasser;Water
Essen;Food
Apfel;Apple
Banane;Banana
Freund;Friend
Familie;Family
Schule;School
Lehrer;Teacher
Blume;Flower
Himmel;Sky
Sonne;Sun
Mond;Moon
Erde;Earth
Feuer;Fire
Luft;Air
Herz;Heart
Hand;Hand
Kopf;Head
Arm;Arm
Bein;Leg
Fuß;Foot
Kind;Child
Eltern;Parents
Oma;Grandma
Opa;Grandpa
Onkel;Uncle
Tante;Aunt
Cousin;Cousin
Mädchen;Girl
Junge;Boy
Fisch;Fish
Vogel;Bird
Pferd;Horse
Schwein;Pig
Kuh;Cow
Schaf;Sheep
Brot;Bread
Käse;Cheese
Butter;Butter
Ei;Egg
Zucker;Sugar
Salz;Salt
Kaffee;Coffee
Tee;Tea
Saft;Juice
Getränk;Drink
Zeit;Time
Tag;Day
Nacht;Night
Woche;Week
Monat;Month
Jahr;Year
Frühling;Spring
Sommer;Summer
Herbst;Autumn
Winter;Winter
Weg;Path
Straße;Street
Brücke;Bridge
Fluss;River
See;Lake
Meer;Sea
Berg;Mountain
Wald;Forest
Stadt;City
Dorf;Village
Laden;Shop
Markt;Market
Buchhandlung;Bookstore
Krankenhaus;Hospital
Polizei;Police
Feuerwehr;Fire department
Bahnhof;Train station
Flughafen;Airport
Park;Park
Spielplatz;Playground
Hotel;Hotel
Restaurant;Restaurant
Bibliothek;Library
Kino;Cinema
